Model Name,Production Year,Mileage,Engine Capacity,Price,Currency,City,Region
Ford Fiesta Mk7,2011,85 130 km,1 200 cm3,17 500 PLN,PLN,Tomaszów Mazowiecki,(Łódzkie)
Ford Fiesta Mk7,2011,93 128 km,1 242 cm3,18 900 PLN,PLN,Grudziądz,(Kujawsko-pomorskie)
Ford Focus Mk2,2011,129 000 km,1 600 cm3,17 800 PLN,PLN,Leszno,(Wielkopolskie)
Ford Fiesta Mk7,2010,148 000 km,1 225 cm3,17 900 PLN,PLN,Opalenica,(Wielkopolskie)
Ford Fiesta Mk7,2009,120 000 km,1 400 cm3,16 400 PLN,PLN,Zielona Góra,(Lubuskie)
Ford Fiesta Mk7,2009,122 000 km,1 248 cm3,15 990 PLN,PLN,Leszno,(Wielkopolskie)
Ford Fiesta Mk7,2010,138 000 km,1 242 cm3,18 950 PLN,PLN,Witkowo,(Wielkopolskie)
Ford Fusion,2011,145 000 km,1 400 cm3,16 900 PLN,PLN,Strzegom,(Dolnośląskie)
Ford Focus Mk2,2010,135 000 km,1 800 cm3,16 999 PLN,PLN,Nowa Wieś Rzeczna,(Pomorskie)
Ford Fiesta Mk7,2009,128 000 km,1 242 cm3,19 900 PLN,PLN,Wilkowa,(Świętokrzyskie)
Ford Fiesta Mk7,2012,133 000 km,1 242 cm3,18 500 PLN,PLN,Grabówki,(Małopolskie)
Ford Fiesta Mk7,2010,110 000 km,1 248 cm3,15 900 PLN,PLN,Jastrzębie-Zdrój,(Śląskie)
Ford KA II,2011,78 460 km,1 242 cm3,17 000 PLN,PLN,Katowice,(Śląskie)
Ford KA II,2009,120 000 km,1 200 cm3,12 515 PLN,PLN,Dzierżążno,(Pomorskie)
Ford Fusion,2014,76 189 km,2 000 cm3,18 200 PLN,PLN,Kraków,(Małopolskie)
Ford KA II,2014,86 000 km,1 300 cm3,15 900 PLN,PLN,Bydgoszcz,(Kujawsko-pomorskie)
Ford Fiesta Mk7,2010,140 571 km,1 250 cm3,15 500 PLN,PLN,Gorzów Wielkopolski,(Lubuskie)
Ford KA II,2009,75 700 km,1 242 cm3,13 500 PLN,PLN,Gorzów,(Małopolskie)
Ford Fiesta Mk7,2010,129 000 km,Benzyna,18 400 PLN,PLN,Lublin,(Lubelskie)
Ford Focus Mk3,2011,90 016 km,1 596 cm3,16 500 PLN,PLN,Kostrzyn nad Odrą,(Lubuskie)
Ford Fiesta Mk7,2009,132 910 km,1 242 cm3,17 399 PLN,PLN,Odrowąż,(Opolskie)
Ford Fiesta Mk7,2011,128 000 km,1 242 cm3,18 900 PLN,PLN,Sochaczew,(Mazowieckie)
Ford KA II,2015,102 896 km,1 248 cm3,18 900 PLN,PLN,Trzemeszno,(Wielkopolskie)
Ford Fiesta Mk7,2010,124 200 km,1 249 cm3,14 900 PLN,PLN,Jawor,(Dolnośląskie)
Ford Fiesta Mk7,2010,90 000 km,1 300 cm3,19 900 PLN,PLN,Strzegom,(Dolnośląskie)
Ford Fiesta Mk7,2009,150 000 km,1 250 cm3,14 900 PLN,PLN,Knurów,(Śląskie)
Ford Fiesta Mk7,2009,147 000 km,1 250 cm3,18 900 PLN,PLN,Świecie,(Kujawsko-pomorskie)
Ford KA II,2009,116 000 km,1 242 cm3,14 900 PLN,PLN,Żory,(Śląskie)
Ford Fusion,2009,130 000 km,1 242 cm3,11 900 PLN,PLN,Ustroń,(Śląskie)
Ford Fiesta Mk7,2010,140 000 km,1 242 cm3,17 900 PLN,PLN,Żory,(Śląskie)
Ford Fiesta Mk7,2010,117 000 km,1 242 cm3,14 900 PLN,PLN,Krzewie Wielkie,(Dolnośląskie)
Ford Fiesta Mk7,2009,91 000 km,1 250 cm3,9 400 PLN,PLN,Krobia,(Wielkopolskie)
Ford KA II,2013,75 000 km,1 300 cm3,4 500 PLN,PLN,Rakoniewice,(Wielkopolskie)
Ford Fiesta Mk7,2011,122 000 km,1 200 cm3,16 900 PLN,PLN,Prusy,(Małopolskie)
Ford KA II,2012,131 000 km,1 200 cm3,17 400 PLN,PLN,Jarosław,(Podkarpackie)
Ford KA II,2009,125 000 km,1 242 cm3,12 000 PLN,PLN,Puszczykowo,(Wielkopolskie)
Ford Fiesta Mk7,2010,140 000 km,1 242 cm3,17 900 PLN,PLN,Paczków,(Opolskie)
Ford KA II,2010,100 000 km,1 250 cm3,13 999 PLN,PLN,Kochanów,(Małopolskie)
Ford KA II,2010,129 000 km,1 242 cm3,13 900 PLN,PLN,Żory,(Śląskie)
Ford Focus Mk3,2012,116 000 km,998 cm3,18 900 PLN,PLN,Pniewy,(Wielkopolskie)
Ford Fusion,2009,137 000 km,1 400 cm3,12 400 PLN,PLN,Miechów,(Małopolskie)
Ford Fiesta Mk7,2010,109 600 km,1 250 cm3,17 900 PLN,PLN,Bojanowo,(Wielkopolskie)
Ford KA II,2009,108 000 km,1 242 cm3,13 500 PLN,PLN,Tarnobrzeg,(Podkarpackie)
Ford Fiesta Mk7,2009,123 870 km,1 242 cm3,19 000 PLN,PLN,Bielany Wrocławskie,(Dolnośląskie)
Ford Fiesta Mk7,2010,117 000 km,1 388 cm3,19 499 PLN,PLN,Leszno,(Wielkopolskie)
Ford KA II,2015,129 482 km,1 242 cm3,19 900 PLN,PLN,Łódź,(Łódzkie)
Ford Fiesta Mk7,2012,89 000 km,1 250 cm3,19 000 PLN,PLN,Białystok,(Podlaskie)
Ford Fiesta Mk7,2011,81 500 km,1 242 cm3,17 500 PLN,PLN,Bielsko-Biała,(Śląskie)
Ford Fiesta Mk7,2009,142 000 km,1 242 cm3,16 800 PLN,PLN,Częstochowa,(Śląskie)
Ford Focus Mk3,2011,114 200 km,1 596 cm3,19 900 PLN,PLN,Nowy Dwór Mazowiecki,(Mazowieckie)
Ford Festiva,2009,141 000 km,1 245 cm3,12 900 PLN,PLN,Świdwin,(Zachodniopomorskie)
Ford Fiesta Mk7,2009,89 000 km,1 242 cm3,13 700 PLN,PLN,Ruda Śląska,(Śląskie)
Ford Fiesta Mk7,2010,132 333 km,1 245 cm3,13 200 PLN,PLN,Lubań,(Dolnośląskie)
Ford Fiesta Mk7,2012,108 000 km,Benzyna,9 900 PLN,PLN,Nakło nad Notecią,(Kujawsko-pomorskie)
Ford Fiesta Mk7,2010,119 236 km,1 242 cm3,18 900 PLN,PLN,Chełmno,(Kujawsko-pomorskie)
Ford Focus Mk3,2015,75 000 km,999 cm3,9 100 PLN,PLN,Kraków,(Małopolskie)
Ford Focus Mk2,2009,148 000 km,1 596 cm3,16 900 PLN,PLN,Krzewie Wielkie,(Dolnośląskie)
Ford Fiesta Mk7,2009,89 544 km,1 200 cm3,11 900 PLN,PLN,Pawłowo,(Wielkopolskie)
Ford Fiesta Mk7,2009,107 000 km,1 200 cm3,14 900 PLN,PLN,Świdnica,(Dolnośląskie)
Ford Fusion,2010,133 000 km,1 388 cm3,5 900 PLN,PLN,Rytel,(Pomorskie)
Ford Fiesta Mk7,2009,116 000 km,1 225 cm3,15 900 PLN,PLN,Olsztyn,(Warmińsko-mazurskie)
Ford Fiesta Mk7,2009,150 000 km,1 388 cm3,18 900 PLN,PLN,Zamość,(Lubelskie)
Ford C-MAX I,2010,95 932 km,1 600 cm3,19 900 PLN,PLN,Elbląg,(Warmińsko-mazurskie)
Ford Fiesta Mk7,2009,149 000 km,1 250 cm3,19 900 PLN,PLN,Strzegom,(Dolnośląskie)
Ford Fiesta Mk7,2011,114 000 km,1 250 cm3,15 500 PLN,PLN,Złotoryja,(Dolnośląskie)
Ford C-MAX II,2013,130 094 km,1 000 cm3,4 600 EUR,EUR,Espalion,(Languedoc-Roussillon-Midi-Pyrénées)
Ford Fiesta Mk7,2009,124 000 km,1 242 cm3,17 300 PLN,PLN,Tomaszów Lubelski,(Lubelskie)
Ford Fiesta Mk7,2012,108 000 km,1 242 cm3,20 000 PLN,PLN,Kielce,(Świętokrzyskie)
Ford KA II,2010,148 000 km,1 200 cm3,12 900 PLN,PLN,Częstochowa,(Śląskie)
Ford Fiesta Mk7,2009,120 000 km,1 242 cm3,15 900 PLN,PLN,Słomniki,(Małopolskie)
Ford Focus Mk2,2009,134 000 km,1 596 cm3,18 900 PLN,PLN,Łaziska Górne,(Śląskie)
Ford Fiesta Mk7,2012,118 000 km,1 388 cm3,17 900 PLN,PLN,Jelenia Góra,(Dolnośląskie)
Ford Fiesta Mk7,2009,117 500 km,1 242 cm3,15 900 PLN,PLN,Gdynia,(Pomorskie)
Ford KA II,2009,135 000 km,1 250 cm3,12 900 PLN,PLN,Korzenna,(Małopolskie)
Ford KA II,2012,99 000 km,1 200 cm3,15 900 PLN,PLN,Warszawa,(Mazowieckie)
Ford Focus Mk3,2012,125 746 km,1 598 cm3,14 999 PLN,PLN,Kłobuczyn,(Dolnośląskie)
Ford KA II,2010,83 000 km,1 242 cm3,12 900 PLN,PLN,Wielmoża,(Małopolskie)
Ford Fiesta Mk7,2009,88 000 km,1 400 cm3,19 500 PLN,PLN,Wrocław,(Dolnośląskie)
Ford Focus Mk3,2015,110 000 km,1 499 cm3,16 900 PLN,PLN,Nieborowice,(Śląskie)
Ford KA II,2010,144 492 km,1 242 cm3,12 345 PLN,PLN,Jejkowice,(Śląskie)
Ford Fiesta Mk7,2009,143 808 km,1 250 cm3,17 490 PLN,PLN,Czersk,(Pomorskie)
Ford Fiesta Mk7,2011,120 000 km,1 250 cm3,6 750 PLN,PLN,Przemęt,(Wielkopolskie)
Ford Fiesta Mk7,2009,131 000 km,1 200 cm3,18 900 PLN,PLN,Rudnik Wielki,(Śląskie)
Ford KA II,2014,113 000 km,1 242 cm3,7 900 PLN,PLN,Wronki,(Wielkopolskie)
Ford Fiesta Mk7,2010,148 000 km,1 245 cm3,16 800 PLN,PLN,Luboń,(Wielkopolskie)
Ford Fiesta Mk7,2010,120 000 km,1 300 cm3,19 900 PLN,PLN,Chmielnik,(Świętokrzyskie)
Ford Fiesta Mk7,2010,130 123 km,1 250 cm3,18 900 PLN,PLN,Żory,(Śląskie)
Ford KA II,2012,78 156 km,1 242 cm3,7 900 PLN,PLN,Czerniewice,(Łódzkie)
Ford Fiesta Mk7,2009,127 000 km,1 400 cm3,18 900 PLN,PLN,Warszawa,(Mazowieckie)
Ford Fiesta Mk7,2009,126 000 km,1 400 cm3,19 999 PLN,PLN,Masłowo,(Wielkopolskie)
Ford Fiesta Mk7,2009,147 109 km,1 242 cm3,14 500 PLN,PLN,Rogów Sobócki,(Dolnośląskie)
Ford Focus Mk2,2011,150 000 km,1 596 cm3,19 800 PLN,PLN,Buczek,(Łódzkie)
Ford Fiesta Mk7,2009,130 000 km,1 242 cm3,19 999 PLN,PLN,Masłowo,(Wielkopolskie)
Ford Fiesta Mk7,2012,96 000 km,1 388 cm3,19 900 PLN,PLN,Elbląg,(Warmińsko-mazurskie)
Ford Focus Mk3,2013,86 752 km,1 596 cm3,13 900 PLN,PLN,Łódź,(Łódzkie)
Ford Fiesta Mk7,2010,129 000 km,1 300 cm3,14 990 PLN,PLN,Chechło,(Małopolskie)
Ford KA II,2010,149 000 km,1 242 cm3,13 900 PLN,PLN,Truskolasy,(Śląskie)
Ford Fiesta Mk7,2010,143 515 km,1 250 cm3,19 850 PLN,PLN,Pruchna,(Śląskie)
Ford Fiesta Mk7,2010,110 000 km,1 250 cm3,17 900 PLN,PLN,Września,(Wielkopolskie)
Ford Fiesta Mk7,2009,137 000 km,1 200 cm3,16 999 PLN,PLN,Rzeszów,(Podkarpackie)
Ford Fiesta Mk7,2009,143 500 km,1 250 cm3,14 900 PLN,PLN,Nowy Targ,(Małopolskie)
Ford Fiesta Mk7,2009,140 643 km,1 242 cm3,17 900 PLN,PLN,Grudziądz,(Kujawsko-pomorskie)
Ford Fiesta Mk7,2010,119 000 km,1 242 cm3,15 900 PLN,PLN,Żory,(Śląskie)
Ford Focus Mk2,2009,148 000 km,1 800 cm3,19 900 PLN,PLN,Elbląg,(Warmińsko-mazurskie)
Ford Fusion,2009,120 080 km,1 242 cm3,13 333 PLN,PLN,Osielsko,(Kujawsko-pomorskie)
Ford Fiesta Mk7,2010,144 000 km,Benzyna,15 900 PLN,PLN,Lębork,(Pomorskie)
Ford KA II,2009,115 000 km,1 200 cm3,14 500 PLN,PLN,Rabka-Zdrój,(Małopolskie)
Ford KA II,2009,150 000 km,1 250 cm3,11 900 PLN,PLN,Gromiec,(Małopolskie)
Ford Fiesta Mk7,2012,147 677 km,Benzyna,18 900 PLN,PLN,Bydgoszcz,(Kujawsko-pomorskie)
Ford KA II,2009,110 000 km,1 242 cm3,13 500 PLN,PLN,Raków,(Świętokrzyskie)
Ford Focus Mk2,2011,129 123 km,1 598 cm3,17 300 PLN,PLN,Wałbrzych,(Dolnośląskie)
Ford Fiesta Mk7,2010,149 000 km,1 250 cm3,15 900 PLN,PLN,Zawiercie,(Śląskie)
Ford Fiesta Mk7,2009,114 571 km,1 242 cm3,18 700 PLN,PLN,Będzin,(Śląskie)
Ford Focus Mk2,2009,134 000 km,1 798 cm3,17 900 PLN,PLN,Poznań,(Wielkopolskie)
