Title,Location,Time of work,Type of agreement,Salary,Article url
45 tys. zł za 6 miesięcy pracy na zmywaku na statku rzecznym!,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,7 700 zł /mies. brutto,https://www.olx.pl/oferta/45-tys-zl-za-6-miesiecy-pracy-na-zmywaku-na-statku-rzecznym-CID4-IDCP4XB.html#2ebda80471
AIOLI zatrudni - Kucharza kuchni zimnej :),Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 3 500 zł do 4 500 zł /mies. brutto,https://www.olx.pl/oferta/aioli-zatrudni-kucharza-kuchni-zimnej-CID4-IDCW845.html#2ebda80471;promoted
45 tys. zł za 6 miesięcy pracy jako kelner na statku rzecznym!,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,7 700 zł /mies. brutto,https://www.olx.pl/oferta/45-tys-zl-za-6-miesiecy-pracy-jako-kelner-na-statku-rzecznym-CID4-IDCP4dt.html#2ebda80471
Pracownik restauracji McDonald`s Jawczyce,Warszawa", Ursus,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-jawczyce-CID4-IDCOVGp.html#2ebda80471
Zawijanie faworków,Warszawa", Wawer,Pełny etat,Umowa o pracę,od 15 zł do 25 zł /godz. brutto,https://www.olx.pl/oferta/zawijanie-faworkow-CID4-IDCYtLL.html#2ebda80471
Manager Sadyba Best Mall od 3450 zł BRUTTO,Warszawa", Mokotów,Pełny etat,Umowa o pracę,3 450 zł /mies. brutto,https://www.olx.pl/oferta/manager-sadyba-best-mall-od-3450-zl-brutto-CID4-IDzifYI.html#2ebda80471;promoted
Pracownika McDonald 's Sadyba- NOWE STAWKI,Warszawa", Mokotów,Niepełny etat,Umowa o pracę,od 2 900 zł do 3 300 zł /mies. brutto,https://www.olx.pl/oferta/pracownika-mcdonald-s-sadyba-nowe-stawki-CID4-IDw7Nit.html#2ebda80471;promoted
pracownik do pomocy od godz 16.00 - CUKIERNIA,Warszawa", Bemowo,Pełny etat,Umowa o pracę,od 4 000 zł do 6 000 zł /mies. brutto,https://www.olx.pl/oferta/pracownik-do-pomocy-od-godz-16-00-cukiernia-CID4-IDB1vRz.html#2ebda80471
Pracownik restauracji Mcdonald's ul. Radzymińska 94a - 3000 BRUTTO!,Warszawa", Targówek,Pełny etat,Umowa o pracę,od 2 900 zł do 3 000 zł /mies. brutto,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-ul-radzyminska-94a-3000-brutto-CID4-IDCRHod.html#2ebda80471;promoted
Manager w McDonald’s – Kierownik Zmiany 4500 ZŁ BRUTTO,Warszawa", Targówek,Pełny etat,Umowa o pracę,od 4 400 zł do 4 500 zł /mies. brutto,https://www.olx.pl/oferta/manager-w-mcdonalds-kierownik-zmiany-4500-zl-brutto-CID4-IDCRHPN.html#2ebda80471;promoted
Pracownik restauracji North Fish,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,17 zł /godz. brutto,https://www.olx.pl/oferta/pracownik-restauracji-north-fish-CID4-IDCdnSg.html#2ebda80471
McDonald's Włochy- stawka 18",50 zł/h + 5 zł/h w Niedzielę i Święta,Warszawa", Włochy,Niepełny etat,Umowa o pracę,od 3 350 zł do 3 360 zł /mies. brutto,https://www.olx.pl/oferta/mcdonalds-wlochy-stawka-18-50-zl-h-5-zl-h-w-niedziele-i-swieta-CID4-IDvr334.html#2ebda80471
Lider zmiany - Max Premium Burgers Złote Tarasy,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,3 850 zł /mies. brutto,https://www.olx.pl/oferta/lider-zmiany-max-premium-burgers-zlote-tarasy-CID4-IDBZMlm.html#2ebda80471
Pomoc kuchenna/ osoba zmywająca - bez doświadczenia 1 lub 1/2 etatu,Warszawa", Bemowo,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pomoc-kuchenna-osoba-zmywajaca-bez-doswiadczenia-1-lub-1-2-etatu-CID4-IDAREjP.html#2ebda80471
Asystenta menadżera w małym bistro oraz kucharza lub pomocnika kucharz,Warszawa", Targówek,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/asystenta-menadzera-w-malym-bistro-oraz-kucharza-lub-pomocnika-kucharz-CID4-IDCYk6i.html#2ebda80471
Kucharz - Jana Olbrachta,Warszawa", Wola,Pełny etat,Umowa o pracę,od 18 zł do 21 zł /godz. brutto,https://www.olx.pl/oferta/kucharz-jana-olbrachta-CID4-IDCOuI6.html#2ebda80471
,Warszawa", Bielany,Pełny etat,Umowa o pracę,od 3 300 zł do 6 000 zł /mies. brutto,
,Warszawa", Wesoła,Pełny etat,Umowa o pracę,od 2 800 zł do 3 300 zł /mies. brutto,
AIOLI zatrudni - Kucharza kuchni zimnej :),Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 3 500 zł do 4 500 zł /mies. brutto,https://www.olx.pl/oferta/aioli-zatrudni-kucharza-kuchni-zimnej-CID4-IDCW845.html#4b8c975f86;promoted
,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,17 zł /godz. brutto,
Pracownik Restauracji McDonald's Centrum,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,3 200 zł /mies. brutto,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-centrum-CID4-IDCHHjS.html#4b8c975f86;promoted
Kierownik Restauracji,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kierownik-restauracji-CID4-IDCYhaS.html#4b8c975f86
Pracownik restauracji Świętokrzyska 3,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pracownik-restauracji-swietokrzyska-3-CID4-IDCOl7n.html#4b8c975f86
Kelner / Kelnerka w PURO Warszawa Centrum,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kelner-kelnerka-w-puro-warszawa-centrum-CID4-IDzfdYY.html#4b8c975f86
Sen Viet zatrudni kelnerkę Warszawa kelnerka kasjerka kelner,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 15 zł do 17 zł /godz. brutto,https://www.olx.pl/oferta/sen-viet-zatrudni-kelnerke-warszawa-kelnerka-kasjerka-kelner-CID4-IDBKi3O.html#4b8c975f86
pizzeria,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,16 zł /godz. brutto,https://www.olx.pl/oferta/pizzeria-CID4-IDy3ZmN.html#4b8c975f86
Pomoc kuchenna,Warszawa", Mokotów,Pełny etat,Umowa o pracę,od 3 200 zł do 3 600 zł /mies. brutto,https://www.olx.pl/oferta/pomoc-kuchenna-CID4-IDCVNhB.html#4b8c975f86
Panią do lepienia pierogów.,Warszawa", Mokotów,Pełny etat,Umowa o pracę,od 13 zł do 16 zł /godz. brutto,https://www.olx.pl/oferta/pania-do-lepienia-pierogow-CID4-IDCVLWO.html#4b8c975f86
Osoba na ZMYWAK,Warszawa", Mokotów,Pełny etat,Umowa o pracę,od 11 zł do 14 zł /godz. brutto,https://www.olx.pl/oferta/osoba-na-zmywak-CID4-IDCVLKK.html#4b8c975f86
Szpital zatrudni pomoc kuchenną,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,2 400 zł /mies. brutto,https://www.olx.pl/oferta/szpital-zatrudni-pomoc-kuchenna-CID4-IDCQUHn.html#4b8c975f86
Restauracja McDonald's Dworzec Centralny Warszawa zatrudni pracowników,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/restauracja-mcdonalds-dworzec-centralny-warszawa-zatrudni-pracownikow-CID4-IDxlYDl.html#4b8c975f86;promoted
Praca po szkole studiach - nowa stawka,Warszawa", Śródmieście,Niepełny etat,Umowa o pracę,,https://www.olx.pl/oferta/praca-po-szkole-studiach-nowa-stawka-CID4-IDA1Nu2.html#4b8c975f86
Pracownik restauracji North Fish Galeria Wola Park,Warszawa", Wola,Pełny etat,Umowa o pracę,16 zł /godz. brutto,https://www.olx.pl/oferta/pracownik-restauracji-north-fish-galeria-wola-park-CID4-IDCU62J.html#4b8c975f86
Zatrudnię Kucharza,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/zatrudnie-kucharza-CID4-IDCXUdB.html#4b8c975f86
Pracownik Kuchni w Restauracji Pizza Hut Puławska,Warszawa", Mokotów,Pełny etat,Umowa o pracę,od 17 zł do 19 zł /godz. brutto,https://www.olx.pl/oferta/pracownik-kuchni-w-restauracji-pizza-hut-pulawska-CID4-IDCNNka.html#4b8c975f86
Pracownik Restauracji McDonald's Centrum,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,3 200 zł /mies. brutto,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-centrum-CID4-IDCHHjS.html#4b8c975f86;promoted
McDonald's Wileńska- NOWE STAWKI,Warszawa", Praga-Północ,Niepełny etat,Umowa o pracę,od 2 800 zł do 3 000 zł /mies. brutto,https://www.olx.pl/oferta/mcdonalds-wilenska-nowe-stawki-CID4-IDxkbVF.html#4b8c975f86;promoted
McDonald's Wał Miedzeszyński 249a,Warszawa", Wawer,Pełny etat,Umowa o pracę,2 940 zł /mies. brutto,https://www.olx.pl/oferta/mcdonalds-wal-miedzeszynski-249a-CID4-IDxaEEZ.html#4b8c975f86
Restauracja Secado zatrudni zmywającą,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,14 zł /godz. brutto,https://www.olx.pl/oferta/restauracja-secado-zatrudni-zmywajaca-CID4-IDBhZNy.html#4b8c975f86
Kucharz Kuchnia Zimna,Warszawa", Praga-Południe,Pełny etat,Umowa o pracę,od 28 zł do 35 zł /godz. brutto,https://www.olx.pl/oferta/kucharz-kuchnia-zimna-CID4-IDzBRDj.html#4b8c975f86;promoted
Gastronomia,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 4 000 zł do 5 000 zł /mies. brutto,https://www.olx.pl/oferta/gastronomia-CID4-IDCMhYY.html#4b8c975f86
PRACA. Poszukujemy nowej baristki do naszego zespołu w Cafe Peron,Warszawa", Wawer,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/praca-poszukujemy-nowej-baristki-do-naszego-zespolu-w-cafe-peron-CID4-IDjzlDn.html#4b8c975f86
Kelnerka do Restauracji Włoskiej- Ursus,Warszawa", Ursus,Pełny etat,Umowa o pracę,od 17 zł do 18 zł /godz. brutto,https://www.olx.pl/oferta/kelnerka-do-restauracji-wloskiej-ursus-CID4-IDCSMEr.html#4b8c975f86
AIOLI SZUKA KELNERÓW :) #aiolicięzadowoli,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 3 000 zł do 5 000 zł /mies. brutto,https://www.olx.pl/oferta/aioli-szuka-kelnerow-aioliciezadowoli-CID4-IDBQAhP.html#4b8c975f86;promoted
Dostawca,Warszawa", Białołęka,Pełny etat,Umowa o pracę,od 20 zł do 24 zł /godz. brutto,https://www.olx.pl/oferta/dostawca-CID4-IDAuClw.html#4b8c975f86
Kucharza do baru kebab,Warszawa", Targówek,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharza-do-baru-kebab-CID4-IDzM6By.html#4b8c975f86
Pracownik restauracji-Złote Tarasy,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,2 940 zł /mies. brutto,https://www.olx.pl/oferta/pracownik-restauracji-zlote-tarasy-CID4-IDCH7w7.html#4b8c975f86
Pracownik restauracji,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pracownik-restauracji-CID4-IDCH7wg.html#4b8c975f86
Pizzer DaGrasso Gocław,Warszawa", Praga-Południe,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pizzer-dagrasso-goclaw-CID4-IDCXfys.html#4b8c975f86
WYDAWCA posilków,Warszawa", Mokotów,Pełny etat,Umowa o pracę,od 15 zł do 18 zł /godz. brutto,https://www.olx.pl/oferta/wydawca-posilkow-CID4-IDCVN6m.html#4b8c975f86
Mobilny serwisant rowerowy,Warszawa", Białołęka,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/mobilny-serwisant-rowerowy-CID4-IDCG2bY.html#4b8c975f86
Kierownik Zmiany w restauracji Burger King Warszawa,Warszawa", Wilanów,Pełny etat,Umowa o pracę,od 3 300 zł do 5 000 zł /mies. brutto,https://www.olx.pl/oferta/kierownik-zmiany-w-restauracji-burger-king-warszawa-CID4-IDBL77t.html#4b8c975f86
Kucharz kuchnia polska,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 4 000 zł do 6 000 zł /mies. brutto,https://www.olx.pl/oferta/kucharz-kuchnia-polska-CID4-IDxreYz.html#4b8c975f86
PIEKARZ lub pomocnik piekarza. PRACA OD ZARAZ tylko w dzien w sklepie.,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 4 500 zł do 6 000 zł /mies. brutto,https://www.olx.pl/oferta/piekarz-lub-pomocnik-piekarza-praca-od-zaraz-tylko-w-dzien-w-sklepie-CID4-IDzJU6i.html#4b8c975f86
Kucharz/ kelner,Warszawa", Praga-Północ,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-kelner-CID4-IDAnl0q.html#4b8c975f86
Restauracja w centrum Warszawy zatrudni kucharza,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 18 zł do 25 zł /godz. brutto,https://www.olx.pl/oferta/restauracja-w-centrum-warszawy-zatrudni-kucharza-CID4-IDCVmNh.html#4b8c975f86
Zatrudnię samodzielnego kucharza,Warszawa", Praga-Południe,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/zatrudnie-samodzielnego-kucharza-CID4-IDchEK5.html#4b8c975f86
Kucharz/ Kucharka na zimną i wydawkę,Warszawa", Ursynów,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-kucharka-na-zimna-i-wydawke-CID4-IDCW5mG.html#4b8c975f86
Kasjerki/kelnerki,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,5 000 zł /mies. brutto,https://www.olx.pl/oferta/kasjerki-kelnerki-CID4-IDCRzDk.html#4b8c975f86
Stała praca dla byłej Kelnerki/Kelnera,Warszawa", Mokotów,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/stala-praca-dla-bylej-kelnerki-kelnera-CID4-IDBQBqb.html#4b8c975f86
,Warszawa", Praga-Południe,Pełny etat,Umowa o pracę,od 17 zł do 23 zł /mies. brutto,
Dworzec Wileński - Kierownik Zmiany McDonald's,Warszawa", Praga-Północ,Pełny etat,Umowa o pracę,od 4 000 zł do 4 200 zł /mies. brutto,https://www.olx.pl/oferta/dworzec-wilenski-kierownik-zmiany-mcdonalds-CID4-IDBLNLk.html#368e70fcfd;promoted
Manager Sadyba Best Mall od 3450 zł BRUTTO,Warszawa", Mokotów,Pełny etat,Umowa o pracę,3 450 zł /mies. brutto,https://www.olx.pl/oferta/manager-sadyba-best-mall-od-3450-zl-brutto-CID4-IDzifYI.html#368e70fcfd;promoted
McDonald's Wileńska- NOWE STAWKI,Warszawa", Praga-Północ,Niepełny etat,Umowa o pracę,od 2 800 zł do 3 000 zł /mies. brutto,https://www.olx.pl/oferta/mcdonalds-wilenska-nowe-stawki-CID4-IDxkbVF.html#368e70fcfd;promoted
Kelnerka", Kelner", Da Grasso,Warszawa", Bielany,Niepełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kelnerka-kelner-da-grasso-CID4-IDCKL1Q.html#368e70fcfd;promoted
Kucharz (Powiat kozienicki),Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-powiat-kozienicki-CID4-IDCWQDq.html#368e70fcfd
pomoc kuchni,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pomoc-kuchni-CID4-IDCWJf7.html#368e70fcfd
Kucharz,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-CID4-IDCWHj3.html#368e70fcfd
Restauracja w Centrum - pomoc kelnerska / kelner,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/restauracja-w-centrum-pomoc-kelnerska-kelner-CID4-IDA7L6T.html#368e70fcfd
Zatrudnimy Kucharzy / pomoc kuchni !,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 18 zł do 25 zł /godz. brutto,https://www.olx.pl/oferta/zatrudnimy-kucharzy-pomoc-kuchni-CID4-IDCWxYZ.html#368e70fcfd
Kelnerka/Kelner,Warszawa", Mokotów,Pełny etat,Umowa o pracę,od 17 zł do 22 zł /godz. brutto,https://www.olx.pl/oferta/kelnerka-kelner-CID4-IDAGJzU.html#368e70fcfd
.Osoba do sprzątania i zmywania Restauracja Galeria Młociny,Warszawa", Bielany,Pełny etat,Umowa o pracę,od 3 000 zł do 4 000 zł /mies. brutto,https://www.olx.pl/oferta/osoba-do-sprzatania-i-zmywania-restauracja-galeria-mlociny-CID4-IDBXy4C.html#368e70fcfd
Obsługa klienta w restauracji!!WOLNE WEEKENDY,Warszawa", Wola,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/obsluga-klienta-w-restauracji-wolne-weekendy-CID4-IDxPLFV.html#368e70fcfd
Praca kasjer/obsługa klienta Express Kuchnia Marche,Warszawa", Praga-Północ,Pełny etat,Umowa o pracę,od 15 zł do 17 zł /godz. brutto,https://www.olx.pl/oferta/praca-kasjer-obsluga-klienta-express-kuchnia-marche-CID4-IDzmhsR.html#368e70fcfd
Praca kucharz liniowy/wydawkowy Express Kuchnia Marche,Warszawa", Praga-Północ,Pełny etat,Umowa o pracę,od 18 zł do 21 zł /godz. brutto,https://www.olx.pl/oferta/praca-kucharz-liniowy-wydawkowy-express-kuchnia-marche-CID4-IDzmjqj.html#368e70fcfd
Pracownik zmiany nocnej - Restauracja McDonald's Radość,Warszawa", Wawer,Pełny etat,Umowa o pracę,od 3 680 zł do 4 104 zł /mies. brutto,https://www.olx.pl/oferta/pracownik-zmiany-nocnej-restauracja-mcdonalds-radosc-CID4-IDy3Qd4.html#368e70fcfd
Pub przy Nowym Świecie szuka kelnetki/ów i barmanów,Warszawa", Wawer,Pełny etat,Umowa o pracę,14 zł /godz. brutto,https://www.olx.pl/oferta/pub-przy-nowym-swiecie-szuka-kelnetki-ow-i-barmanow-CID4-IDCdd1X.html#368e70fcfd
Poszukujemy Office Mangera do restauracji,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 14 zł do 16 zł /godz. brutto,https://www.olx.pl/oferta/poszukujemy-office-mangera-do-restauracji-CID4-IDCW9Tf.html#368e70fcfd
Kierownik Zmiany Salad Story Wola Park- od zaraz!,Warszawa", Wola,Pełny etat,Umowa o pracę,od 19 zł do 20 zł /godz. brutto,https://www.olx.pl/oferta/kierownik-zmiany-salad-story-wola-park-od-zaraz-CID4-IDCW9Hr.html#368e70fcfd
Kelner / Kelnerka w Platter by Karol Okrasa,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 17 zł do 19 zł /godz. brutto,https://www.olx.pl/oferta/kelner-kelnerka-w-platter-by-karol-okrasa-CID4-IDCW9ue.html#368e70fcfd
Poszukujemy Szefa kuchni-kucharza do restauracji-pizzerii na Mokotowie,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 4 500 zł do 6 000 zł /mies. brutto,https://www.olx.pl/oferta/poszukujemy-szefa-kuchni-kucharza-do-restauracji-pizzerii-na-mokotowie-CID4-IDCW8VV.html#368e70fcfd
Osoba do obsługi kawiarni,Warszawa", Ursynów,Niepełny etat,Umowa o pracę,,https://www.olx.pl/oferta/osoba-do-obslugi-kawiarni-CID4-IDCW8qp.html#368e70fcfd
Pracownik restauracji McDonald's w GH MŁOCINY. Dołącz do zespołu!,Warszawa", Bielany,Pełny etat,Umowa o pracę,od 3 270 zł do 3 500 zł /mies. brutto,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-w-gh-mlociny-dolacz-do-zespolu-CID4-IDyCmD6.html#368e70fcfd
Franczyza Mcdonald's CH MŁOCINY szuka MANAGERA restauracji. Dołącz!!!,Warszawa", Bielany,Niepełny etat,Umowa o pracę,od 4 120 zł do 4 300 zł /mies. brutto,https://www.olx.pl/oferta/franczyza-mcdonalds-ch-mlociny-szuka-managera-restauracji-dolacz-CID4-IDyIb0m.html#368e70fcfd
Poszukiwany pomocnik kucharza do lunchowni/restauracji pracowniczej.,Warszawa", Białołęka,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/poszukiwany-pomocnik-kucharza-do-lunchowni-restauracji-pracowniczej-CID4-IDCW2XP.html#368e70fcfd
Poszukiwany kucharz do lunchowni pracowniczej,Warszawa", Białołęka,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/poszukiwany-kucharz-do-lunchowni-pracowniczej-CID4-IDCW2Rz.html#368e70fcfd
Restauracja zatrudni kelnerki i kelnerów,Warszawa", Włochy,Pełny etat,Umowa o pracę,od 14 zł do 17 zł /godz. brutto,https://www.olx.pl/oferta/restauracja-zatrudni-kelnerki-i-kelnerow-CID4-IDCUXo7.html#368e70fcfd
Pizzer W-wa Wilanów lub centrum od 18 PLN/H - 22 PLN/H netto!,Warszawa", Wilanów,Pełny etat,Umowa o pracę,od 4 000 zł do 5 000 zł /mies. brutto,https://www.olx.pl/oferta/pizzer-w-wa-wilanow-lub-centrum-od-18-pln-h-22-pln-h-netto-CID4-IDvj4M6.html#368e70fcfd
Pracownik Kawiarni - Barista,Warszawa", Praga-Południe,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pracownik-kawiarni-barista-CID4-IDCTDe3.html#368e70fcfd
.Kucharz Kuchni Tajskiej,Warszawa", Bielany,Pełny etat,Umowa o pracę,od 4 000 zł do 6 000 zł /mies. brutto,https://www.olx.pl/oferta/kucharz-kuchni-tajskiej-CID4-IDBn404.html#368e70fcfd
Restauracja Sushi zatrudni kelnerki/kelnerów,Warszawa", Mokotów,Pełny etat,Umowa o pracę,od 3 080 zł do 3 696 zł /mies. brutto,https://www.olx.pl/oferta/restauracja-sushi-zatrudni-kelnerki-kelnerow-CID4-IDBGDJ2.html#368e70fcfd
Kelnerka,Warszawa", Wola,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kelnerka-CID4-IDCJS5G.html#368e70fcfd
Manager zmiany,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/manager-zmiany-CID4-IDCUDwU.html#368e70fcfd
Pracownik restauracji McDonald’s ul. Rzymowskiego 18,Warszawa", Mokotów,Pełny etat,Umowa o pracę,od 2 650 zł do 3 000 zł /mies. brutto,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-ul-rzymowskiego-18-CID4-IDBq9EL.html#368e70fcfd
Do baru z Kebabem zatrudnię,Warszawa", Ursynów,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/do-baru-z-kebabem-zatrudnie-CID4-IDBjiwp.html#368e70fcfd
Zatrudnię Dozorcę/Magazyniera,Warszawa", Bielany,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/zatrudnie-dozorce-magazyniera-CID4-IDCUuvd.html#368e70fcfd
zatrudnię kucharza,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/zatrudnie-kucharza-CID4-IDCUqbZ.html#368e70fcfd
Zatrdnimy Kelnera lub kelnerkę,Warszawa", Mokotów,Pełny etat,Umowa o pracę,15 zł /godz. brutto,https://www.olx.pl/oferta/zatrdnimy-kelnera-lub-kelnerke-CID4-IDB0Bwi.html#368e70fcfd
SZEF KUCHNI/Szef Produkcji - Catering dla Przedzkoli,Warszawa", Praga-Południe,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/szef-kuchni-szef-produkcji-catering-dla-przedzkoli-CID4-IDCGb7e.html#368e70fcfd
Pomoc kuchenna,Warszawa", Białołęka,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pomoc-kuchenna-CID4-IDCUi9E.html#368e70fcfd
Praca w pendolino i wagon restauracyjny,Warszawa", Praga-Południe,Pełny etat,Umowa o pracę,od 3 400 zł do 3 600 zł /mies. brutto,https://www.olx.pl/oferta/praca-w-pendolino-i-wagon-restauracyjny-CID4-IDCPHTM.html#368e70fcfd
Zmywający", zmywak - Restauracja Street,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 2 800 zł do 3 700 zł /mies. brutto,https://www.olx.pl/oferta/zmywajacy-zmywak-restauracja-street-CID4-IDCUeeS.html#368e70fcfd
Atrakcyjne zarobki dla kelnerek i kelnerów,Warszawa", Mokotów,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/atrakcyjne-zarobki-dla-kelnerek-i-kelnerow-CID4-IDCUah3.html#368e70fcfd
Zatrudnię barmana do clubu Warszawa Chmielna",pełny etat",umowa o pracę,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/zatrudnie-barmana-do-clubu-warszawa-chmielna-pelny-etat-umowa-o-prace-CID4-IDCU3j5.html#368e70fcfd
,Warszawa", Targówek,Niepełny etat,Umowa o pracę,,
,Warszawa", Wola,Pełny etat,Umowa o pracę,,
,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 15 zł do 25 zł /godz. brutto,
,Warszawa", Bielany,Pełny etat,Umowa o pracę,,
Pomocnik Kucharza", Kucharz,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,15 zł /mies. brutto,https://www.olx.pl/oferta/pomocnik-kucharza-kucharz-CID4-IDmv91s.html#fcb6b88aff;promoted
Książeczka sanepid badania 3 lata,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 50 zł do 100 zł /godz. brutto,https://www.olx.pl/oferta/ksiazeczka-sanepid-badania-3-lata-CID4-IDCU1JZ.html#fcb6b88aff
Książeczka sanepid badania trzy lata,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 50 zł do 100 zł /godz. brutto,https://www.olx.pl/oferta/ksiazeczka-sanepid-badania-trzy-lata-CID4-IDCU18I.html#fcb6b88aff
