Title,Location,Time of work,Type of agreement,Salary,Article url
,Warszawa", Wola,Niepełny etat,Umowa o pracę,,
,Warszawa", Targówek,Pełny etat,Umowa o pracę,3 120 zł /mies. brutto,
,Warszawa", Wilanów,Pełny etat,Umowa o pracę,od 20 zł do 22 zł /godz. brutto,
,Warszawa", Mokotów,Pełny etat,Umowa o pracę,od 3 500 zł do 5 500 zł /mies. brutto,
Pomoc cukiernika WEEKENDOWO,Warszawa", Ochota,Niepełny etat,Umowa o pracę,od 19 zł do 23 zł /godz. brutto,https://www.olx.pl/oferta/pomoc-cukiernika-weekendowo-CID4-IDCZpUW.html#fdf91ad939
,Warszawa", Ursynów,Pełny etat,Umowa o pracę,,
Pracuj w McDonald's Połczyńska .,Warszawa", Bemowo,Pełny etat,Umowa o pracę,od 3 000 zł do 3 300 zł /mies. brutto,https://www.olx.pl/oferta/pracuj-w-mcdonalds-polczynska-CID4-IDp6jvt.html#fdf91ad939
,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,
,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,
,Warszawa", Ochota,Pełny etat,Umowa o pracę,,
Restauracja McDonal's GaleriaPółnocna zatruni osoby niepełnosprawne.,Warszawa", Białołęka,Pełny etat,Umowa o pracę,od 3 130 zł do 3 210 zł /mies. brutto,https://www.olx.pl/oferta/restauracja-mcdonals-galeriapolnocna-zatruni-osoby-niepelnosprawne-CID4-IDA1il7.html#5777e25a50;promoted
,Warszawa", Praga-Południe,Pełny etat,Umowa o pracę,,
,Warszawa", Wilanów,Pełny etat,Umowa o pracę,od 20 zł do 22 zł /godz. brutto,
,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 4 000 zł do 5 000 zł /mies. brutto,
Hala Koszyki - restauracja Jeff's zatrudni kucharzy,Warszawa", Mokotów,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/hala-koszyki-restauracja-jeffs-zatrudni-kucharzy-CID4-IDCGCtn.html#5777e25a50
Pracownik restauracji,Warszawa", Bemowo,Pełny etat,Umowa o pracę,od 3 000 zł do 3 300 zł /mies. brutto,https://www.olx.pl/oferta/pracownik-restauracji-CID4-IDCZoM0.html#5777e25a50
Pracownik kuchni - Targówek,Warszawa", Targówek,Pełny etat,Umowa o pracę,od 17 zł do 20 zł /godz. brutto,https://www.olx.pl/oferta/pracownik-kuchni-targowek-CID4-IDCmgbo.html#5777e25a50
,Warszawa", Wesoła,Pełny etat,Umowa o pracę,od 2 800 zł do 3 300 zł /mies. brutto,
,Warszawa", Ochota,Pełny etat,Umowa o pracę,,
,Warszawa", Ochota,Pełny etat,Umowa o pracę,,
,Warszawa", Ochota,Pełny etat,Umowa o pracę,,
,Warszawa", Targówek,Niepełny etat,Umowa o pracę,,
,Warszawa", Bemowo,Pełny etat,Umowa o pracę,3 050 zł /mies. brutto,
Praca zmywak GN Express Kuchnia Marche Galeria Wileńska,Warszawa", Praga-Północ,Pełny etat,Umowa o pracę,od 15 zł do 17 zł /godz. brutto,https://www.olx.pl/oferta/praca-zmywak-gn-express-kuchnia-marche-galeria-wilenska-CID4-IDzx4dZ.html#5777e25a50
Kucharz - kuchnia tajska 16-24 zł /godz.,Warszawa", Mokotów,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-kuchnia-tajska-16-24-zl-godz-CID4-IDvlaPq.html#5777e25a50;promoted
,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 18 zł do 20 zł /godz. brutto,
Pracownik do robienia pizzy,Warszawa", Bemowo,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pracownik-do-robienia-pizzy-CID4-IDC94Tk.html#5777e25a50
Kelner/ka Restauracji Pizza Hut,Warszawa", Ochota,Pełny etat,Umowa o pracę,od 15 zł do 17 zł /godz. brutto,https://www.olx.pl/oferta/kelner-ka-restauracji-pizza-hut-CID4-IDCZhSK.html#5777e25a50
Restauracja Studio Buffo zatrudni kelnerów / kelnerki,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/restauracja-studio-buffo-zatrudni-kelnerow-kelnerki-CID4-IDCLHlI.html#5777e25a50
,Warszawa", Śródmieście,Niepełny etat,Umowa o pracę,,
Kucharz,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 4 500 zł do 5 500 zł /mies. brutto,https://www.olx.pl/oferta/kucharz-CID4-IDCVKZB.html#5777e25a50
,Warszawa", Mokotów,Pełny etat,Umowa o pracę,,
,Warszawa", Praga-Południe,Pełny etat,Umowa o pracę,,
Warszawa: Pracownik restauracji z burgerami,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/warszawa-pracownik-restauracji-z-burgerami-CID4-IDCtAMg.html#5777e25a50
Koordynator Gastronomii,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/koordynator-gastronomii-CID4-IDCkARc.html#5777e25a50
Pracownik restauracji,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pracownik-restauracji-CID4-IDCZ6WQ.html#5777e25a50
Pracownik Kuchni w Restauracji Pizza Hut Wrocławska/Bemowo,Warszawa", Bemowo,Dodatkowa / sezonowa,Umowa o pracę,16 zł /godz. brutto,https://www.olx.pl/oferta/pracownik-kuchni-w-restauracji-pizza-hut-wroclawska-bemowo-CID4-IDCGL5B.html#5777e25a50
Pracownik Max Premium Burgers Złote Tarasy/Arkadia,Warszawa", Śródmieście,Niepełny etat,Umowa o pracę,od 18 zł do 20 zł /godz. brutto,https://www.olx.pl/oferta/pracownik-max-premium-burgers-zlote-tarasy-arkadia-CID4-IDCdpM0.html#5777e25a50
Pracownik Max Premium Burgers Złote Tarasy,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 18 zł do 20 zł /mies. brutto,https://www.olx.pl/oferta/pracownik-max-premium-burgers-zlote-tarasy-CID4-IDCfwf1.html#5777e25a50
ZMYWAK / POMOC - Włoskie Bistro Mokotów 12-14 PLN,Warszawa", Mokotów,Pełny etat,Umowa o pracę,od 12 zł do 14 zł /godz. brutto,https://www.olx.pl/oferta/zmywak-pomoc-wloskie-bistro-mokotow-12-14-pln-CID4-IDCL01y.html#5777e25a50;promoted
POMOC KUCHENNA - Włoskie Bistro Mokotów 14-16 PLN,Warszawa", Mokotów,Pełny etat,Umowa o pracę,od 14 zł do 16 zł /godz. brutto,https://www.olx.pl/oferta/pomoc-kuchenna-wloskie-bistro-mokotow-14-16-pln-CID4-IDCKZU8.html#5777e25a50;promoted
Kelnerka", Kelner", Da Grasso,Warszawa", Bielany,Niepełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kelnerka-kelner-da-grasso-CID4-IDCKL1Q.html#5777e25a50;promoted
Pracownik zmiany nocnej Pelikanów 18",50zł/h + 5 zł/h w niedzielę,Warszawa", Ursynów,Pełny etat,Umowa o pracę,od 3 500 zł do 3 550 zł /mies. brutto,https://www.olx.pl/oferta/pracownik-zmiany-nocnej-pelikanow-18-50zl-h-5-zl-h-w-niedziele-CID4-IDAH4gi.html#5777e25a50
Kierownik Zmiany Costa Coffee- Warszawa,Warszawa", Praga-Południe,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kierownik-zmiany-costa-coffee-warszawa-CID4-IDCdwGh.html#5777e25a50
NOWE WYŻSZE STAWKI 18",5 ZŁ/H Praca McDonald’s Pelikanów na weekendy,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/nowe-wyzsze-stawki-18-5-zl-h-praca-mcdonalds-pelikanow-na-weekendy-CID4-IDCYTqy.html#5777e25a50
Kucharz (k/m),Warszawa", Ursus,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-k-m-CID4-IDCy8S0.html#5777e25a50
Zmywający/Zmywająca,Warszawa", Ursus,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/zmywajacy-zmywajaca-CID4-IDCzi7A.html#5777e25a50
Kucharz cateringowy - Wola,Warszawa", Wola,Pełny etat,Umowa o pracę,od 3 500 zł do 4 500 zł /mies. brutto,https://www.olx.pl/oferta/kucharz-cateringowy-wola-CID4-IDCQ5gn.html#5777e25a50
